bid,shelfmark,all_shelfmarks,title,responsibility,place,date,year,lang,possessor_field_Eco
BVEE031853,ECO.01.0419,ECO.01.0419,"P. Gasparis Schotti ... Cursus mathematicus, sive Absoluta omnium mathematicarum disciplinarum encyclopaedia, in libros 28. digesta, ... Accesserunt i",,Herbipoli,1661,1661,lat,yes
BVEE032644,ECO.01.0026,ECO.01.0026,"Marci Ant.nii Vlmi Patauini, ... Physiologia barbae humanae, in tres sectiones diuisa, hoc est de fine illius philosophico, & medico, in quarum prima ",,Bononiae,1601,1601,lat,yes
BVEE035253,ECO.01.0743/1,ECO.01.0743/1,"Ars memoriae, seu potiùs reminiscentiae: noua, eaque maxime perspicua methodo, per loca et imagines, ac per notas et figuras, in manibus positas, trad",,Francofurti,1603,1603,lat,yes
BVEE035522,ECO.01.0365,ECO.01.0365,"Thresor de l'histoire des langues de cest vniuers, contenant les origines, beautez, perfections, decadences, mutations, changements, conuersions, & ru",,A Yverdon,1619,1619,lat,yes
BVEE038708,ECO.02.0028,ECO.02.0028,Il Cretideo del caualier Gio. Battista Manzini. Consecrato all'altezza del ... card. di Sauoia ...,,In Bologna,1637,1637,ita,yes
BVEE022242,ECO.01.0415,ECO.01.0415,"Fasciculus geomanticus, in quo varia variorum opera geomantica continentur. Opuus maximè curiosum, à multis hactenus desideratum, nunc verò magno stud",,Veronae,1687,1687,lat,yes
BVEE031999,ECO.01.0036,ECO.01.0036,"De quatuor signis, quae apparent in vnguibus manuum. Auctore Philippo Finella",,Neap.,1649,1649,lat,yes
BVEE033569,ECO.01.0889,ECO.01.0889,"Petri Gassendi De apparente magnitudine solis humilis et sublimis. Epistolae quatuor. In quibus complura physica, opticaque problemata proponuntur, & ",,Parisiis,1642,1642,lat,
BVEE037193,ECO.01.0192,ECO.01.0192,"Iconologia ouero Descrittione di diuerse imagini cauate dall'antichità, & di propria inuentione, trouate, & dichiarate da Cesare Ripa perugino ... Di ",,In Roma,1603,1603,ita,yes
BVEE042123,ECO.01.0776,ECO.01.0776,"Steganographia: hoc est: ars per occultam scripturam animi sui voluntatem absentibus aperiendi certa. Authore ... Joanne Trithemio, abbate Spanhaimens",,Francofurti,1608,1608,lat,
