bid,shelfmark,all_shelfmarks,title,responsibility,place,date,year,lang,possessor_field_Eco
NAPE029117,ECO.01.0067,ECO.01.0067,"Le chef d'oeuvre d'un inconu. Poëme heureusement découvert & mis au jour, avec des remarques savantes & recherchées. Par M. le docteur Chrisostome Mat",,A La Haye,1716,1716,fre,yes
NAPE030227,ECO.01.0239,ECO.01.0239,"Absconditorum à constitutione mundi clavis, quâ mens humana tam in divinis, quàm in humanis pertinget ad interiora velaminis aeternae veritatis. Guili",,Amsterodami,1646,1646,lat,yes
UBOE039738,ECO.01.0061,ECO.01.0061,1,,,,1734,lat,yes
UBOE039742,ECO.01.0061,ECO.01.0061,2,,,,1734,lat,yes
PUVE019456,ECO.01.0931,ECO.01.0931,Stratagematum Satanæ libri octo Iacobo Acontio authore,,Amstelaedami,1652,1652,lat,yes
MIL1077033,ECO.02.0162/3,ECO.02.0162/3,1,par Eugène Sue,Bruxelles,,1848,fre,
MIL1077035,ECO.02.0162/3,ECO.02.0162/3,3,par Eugéne Sue,Bruxelles,1848,1848,fre,
PUVE004100,ECO.01.0561,ECO.01.0561,"Histoire naturelle de la parole, ou Précis de l'origine du language & de la grammaire universelle. Extrait du Monde primitif par m. Court de Gebelin",,A Paris,1776,1776,fre,yes
CFI0470538,ECO.02.0162/1,ECO.02.0162/1,1,par Eugène Sue,Bruxelles,1848,1848,fre,yes
CFI0470542,ECO.02.0162/2,ECO.02.0162/2,3,par Eugène Sue,Bruxelles,1848,1848,fre,yes
CFI0470540,ECO.02.0162/1,ECO.02.0162/1,2,par Eugène Sue,Bruxelles,1848,1848,fre,yes
PUVE023351,ECO.01.0156,ECO.01.0156,"De symbolica Aegyptiorum sapientia, in qua symbola, parabolae, historiae selectae, quae ad omnem emblematum, aenigmatum. Hieroglyphicorum cognitionem ",,Coloniæ Agrippinæ,1623,1623,lat,yes
SIPE013278,ECO.01.0167,ECO.01.0167,"2: Del trattato dell'imprese di Giulio Cesare Capaccio, libro secondo. Oue mentre delle molte qualità di ieroglifici si tratta, e dell'imprese che da ",,In Napoli,1592,1592,ita,yes
SIPE013279,ECO.01.0167,ECO.01.0167,"3: Del trattato dell'imprese di Giulio Cesare Capaccio, libro terzo. Oue nel figurar de gli emblemi e nella proprietà delle piante e de gli animali di",,In Napoli,1592,1592,ita,yes
CFI0470544,ECO.02.0162/2,ECO.02.0162/2,4,par Eugène Sue,Bruxelles,Cans et C.ie. 1848,1848,fre,yes
SIPE015936,ECO.01.0167,ECO.01.0167,1,,,,1592,ita,yes
MIL1077034,ECO.02.0162/3,ECO.02.0162/3,2,Par Eugéne Sue,Bruxelles,1848,1848,fre,
PUVE007229,ECO.01.0507,ECO.01.0507,"Precetti di grammatica per la lingua filosofica, o sia, universale, propria per ogni genere di vita",,In Roma,1773,1773,ita,yes
CFI0701949,,,L'eco di San Contardo,,Broni,[1904]-,1904,ita,
MILE062611,ECO.01.0562/1,ECO.01.0562/1,Monde primitif analysé et comparé avec le monde moderne considéré dans son génie allégorique et dans les allégories auxquelles conduisit ce génie ; pr,,A Paris,1777,1777,fre,
MILE060240,ECO.01.0534,ECO.01.0534,"Systeme universel et complet de sténographie, ou maniere abregée d'écrire applicable à tous les idiomes ... inventé par Samuel Taylor ... et adapté à ",,Paris,l'An 3. de l'Ere fra,1794,fre,yes
MILE062615,ECO.01.0562/1,ECO.01.0562/1,"1.1.: Monde Primitif analysé et comparé avec le Monde Moderne, considéré dans son génie allégorique et dans les allégories auxquelles conduisit ce Gén",,A Paris,1777,1777,fre,yes
LIA0236758,ECO.01.1057,ECO.01.1057,Collezione degli erotici greci tradotti in volgare,,Firenze,1833,1833,ita,yes
TO01377644,ECO.01.1058,ECO.01.1058,Milano sconosciuta,Paolo Valera,Milano,1879,1879,ita,yes
MILE040677,ECO.02.0132,ECO.02.0132,"Definições, e estatutos dos cavalleiros, e freires da Ordem de Nosso Senhor Jesus Christo, com a historia da origem, e principio della ...",,Lisboa,1746,1746,por,yes
RAV0269381,ECO.01.0508,ECO.01.0508,Genigrafia italiana,"inventato, e pubblicato dal m.r.p. fr. Gio. Giuseppe Matraja di Lucca",Lucca,1831,1831,ita,
UBOE000951,ECO.01.0256,ECO.01.0256,Teatro d'imprese di Giouanni Ferro all'ill.mo e r.mo cardinal Barberino. Parte prima [-seconda],,,,1623,ita,yes
SBL0253730,ECO.04.0015,ECO.04.0015,Apocalittici e integrati,di Umberto Eco,Milano,1964,1964,ita,
UFIE003433,ECO.01.0433,ECO.01.0433,"Athanasii Kircheri e Soc. Jesu Ars magna sciendi, in 12 libros digesta, qua nova & universali methodo per artificiosum combinationum contextum de omni",,Amstelodami,1669,1669,lat,yes
LO1E015564,ECO.01.0589,ECO.01.0589,"Franc. Sanctii Brocensis ... Minerva, seu De causis linguae latinae commentarius, cui inserta sunt, uncis inclusa, quae addidit Gasp. Scioppius et sub",,Amstelaedami,1714,1714,lat,yes
PAR0851522,ECO.02.0162/4,ECO.02.0162/4,1,Eugene Sue,Bruxelles,1848,1848,fre,yes
BVEE009615,ECO.01.0063,ECO.01.0063,"M. Fabii Quintiliani Institutionum oratoriarum libri duodecim. Summa diligentia ad fidem uetustissimorum codicum recogniti, ac restituti. Cum rerum ue",,Lugduni,1549,1549,lat,yes
BVEE040856,ECO.01.0169,ECO.01.0169,"C.F. Menestrerii S.J. Philosophia imaginum id est Sylloge symbolorum amplissima, qua plurima regum, principum, nobilium, foeminarum illustrium, erudit",,Amstelodami & Gedani,1695,1695,lat,yes
RMLE004220,ECO.01.0023,ECO.01.0023,"L'arte de' cenni con la quale formandosi fauella visibile, si tratta della muta eloquenza, che non è altro che un facondo silentio. Diuisa in due part",,In Vicenza,1616,1616,ita,yes
RMLE008510,ECO.01.0048,ECO.01.0048,Giulio Ossequente de' prodigii. Polidoro Vergilio. De prodigii Lib. 3. Per Damiano Maraffi fatti toscani,,In Lione,1554,1554,ita,yes
NAP0175724,ECO.02.0077,ECO.02.0077,Mafarka il futurista,F. T. Marinetti,Milano,1910,1910,ita,yes
TSAE001499,ECO.01.0997,ECO.01.0997,"Polygamia triumphatrix, id est Discursus politicus de polygamia auctore Theophilo Aletheo, cum notis Athanasii Vincentii, omnibus anti-polygamis ubiqu",,Londini Scanorum,1682,1682,lat,yes
TO0E165664,ECO.01.0852,ECO.01.0852,"Histoires, disputes et discours, des illusions et impostures des diables, des magiciens infames, sorcieres et empoisonneurs ...Le tout compris en six ",,[Genève?,1579,1579,fre,yes
TO0E142747,ECO.01.0836/1,ECO.01.0836/1,"Discours, et histoires des spectres, visions et apparitions des esprits, anges, démons et ames, se monstrans visibles aux hommes, divisez en huict liv",,A Paris,1605,1605,fre,yes
TO0E040522,ECO.01.0189,ECO.01.0189,"Andreae Alciati Emblemata cum commentarijs Claudij Minois i.c. Francisci Sanctij Brocensis, & notis Laurentij Pignorij Patauini. Nouissima hac edition",,Patauij,1621,1621,lat,yes
TO0E035695,ECO.01.0204,ECO.01.0204,"Hieroglyphica siue de sacris Aegyptiorum literis commentarii, Ioannis Pierii Valeriani Bolzanii ... Habes in hisce commentariis non solum variarum his",,Basileæ,1556,1556,lat,yes
RLZE030261,ECO.01.0816,ECO.01.0816,"Vetera analecta, sive Collectio veterum aliquot operum & opuscolorum omnis generis, carminum, epistolarum, diplomatum, epitaphiorum, &c. Cum itinere g",,"Parisiis: apud Montalant, ad Ripam PP. A",1723,1723,lat,yes
BVEE010679,ECO.01.0022,ECO.01.0022,"L. Apulei Madaurensis ... Apologia. Isaacus Casaubonus recensuit, Graeca suppleuit, & Castigationum libellum adiecit. Ad virum illustrem Iosephum Scal",,\Ginevra!,1594,1594,lat,yes
BVEE000571,ECO.01.0663,ECO.01.0663,"Rettorica et poetica d'Aristotile tradotte di greco in lingua vulgare fiorentina da Bernardo Segni gentil'huomo, & accademico fiorentino",,In Vinegia,1551,1551,ita,yes
RMRE000642,ECO.01.0568,ECO.01.0568,"Caprices d'imagination ou Lettres sur differens sujets d'histoire, de morale..",,A Paris,1740,1740,fre,yes
BVEE041971,ECO.01.0636,ECO.01.0636,"B.d.S. Opera posthuma, quorum series post praefationem exhibetur",,,1677,1677,lat,yes
BVEE035149,ECO.01.0619,ECO.01.0619,"Alphabeti verè naturalis Hebraici breuissima delineatio. Quae simul methodum suppeditat, juxta quam qui surdi nati sunt sic informari possunt, ut non ",,Sulzbaci,MDCLVII \i.e. 1657!,1667,lat,yes
BVEE025238,ECO.01.0594/3,ECO.01.0594/3,Réponse au liure intitulé Sentimens de quelques theologiens de Hollande sur l'Histoire critique du Vieux Testament. Par le prieur De Bollenuille. ...,,A Rotterdam,1686,1686,fre,yes
BVEE025331,ECO.01.0594/3,ECO.01.0594/3,Richardi Simonis Gallicanæ Ecclesiæ theologi Opuscula critica adversus Isaacum Vossium Anglicanæ Ecclesiæ canonicum. Defenditur sacer Codex Ebraicus &,,Edinburgi [i.e. Rotterdam],1685,1685,lat,yes
BVEE018220,ECO.01.0186,ECO.01.0186,Le imprese illustri del s.or Ieronimo Ruscelli. Aggiuntoui nuouam.te il quarto libro da Vincenzo Ruscelli da Viterbo ...,,In Venetia,1584,1584,ita,yes
BVEE025241,ECO.01.0594/3,ECO.01.0594/3,"De l'inspiration des livres sacrés: avec une réponse au livre intitulé, Defense des sentimens de quelques theologiens de Hollande sur l'Histoire criti",,A Rotterdam,1687,1687,fre,yes
BVEE002390,ECO.01.0703,ECO.01.0703,"Della rhetorica di Giason Denores libri tre, ne' quali, oltra i precetti dell'arte, si contengono vinti orationi tradotte de' più famosi, & illustri p",,In Venetia,1584,1584,ita,yes
RMSE009111,ECO.01.0136/1,ECO.01.0136/1,"Sibylliakoi kresmoi hoc est Sibyllina oracula ex uett. codd. aucta, renouata, et notis illustrata a d. Iohanne Opsopoeo Brettano. Cum interpretatione ",,Parisijs: [Compagnie du Grand Navire],1599,1599,fre,yes
CAGE017039,ECO.01.0168,ECO.01.0168,Duodecim specula Deum aliquando videre desideranti concinnata. Auctore P. Ioanne Dauid ...,,Antuerpiae,1610,1610,lat,yes
RMSE005829,ECO.01.0018,ECO.01.0018,"De furtiuis literarum notis vulgò De ziferis libri quinque. Altero libro superaucti, & quamplurimis in locis locupletati. Io. Baptista Porta Neapolita",,Neapoli,1602,1602,lat,yes
BVEE059647,ECO.01.0769,ECO.01.0769,"Polygraphiae libri sex, Ioannis Trithemii abbatis Peapolitani, quondam Spanheimensis, ad Maximilianum Caesarem",,,,1518,lat,yes
BVEE013850,ECO.01.0173,ECO.01.0173,"I discorsi di m. Gio. Andrea Palazzi sopra l'imprese: recitati nell'Academia d'Vrbino: con la tauola delle cose più notabili, che in loro si contengon",,In Bologna,1575,1575,ita,yes
RMSE072127,ECO.01.0908,ECO.01.0908,Antonii de Haen ... De magia liber,,Lipsiae,1774,1774,lat,yes
BVEE042490,ECO.01.0197,ECO.01.0197,"Mondo simbolico, o sia Vniuersità d'imprese scelte, spiegate, ed' illustrate con sentenze, ed eruditioni sacre, e profane. Studiosi diporti dell'abbat",,In Milano,1653,1653,ita,yes
BVEE042107,ECO.01.0814,ECO.01.0814,"Gerardi Ioannis Vossii, Etymologicon linguae Latinae; praefigitur eiusdem tractatus de permutatione literarum. Et in fine adiectus est luculentus inde",,Lugduni,1664,1664,lat,yes
CNCE006486,ECO.01.0134,ECO.01.0134,"Achillis Bocchii Bonon. Symbolicarum quæstionum, de vniuerso genere, quas serio ludebat, libri quinque",,Bononiæ,1574,1574,lat,yes
CNCE009062,ECO.01.0167,ECO.01.0167,"Delle imprese trattato di Giulio Cesare Capaccio. In tre libri diuiso. Nel primo, del modo di far l'impresa ... Nel secondo, tutti ieroglifici, simbol",,In Napoli,1592,1592,ita,
CFIE005319,ECO.01.0942/02,ECO.01.0942/02,Appendix apologetica Henrici Cornelij Agrippæ ab Nettesheym armatæ militiæ equitis aurati ... pertinens ad secundam eius operum Lugduni editorum parte,,Lugduni,1605,1605,lat,yes
TO0E012828,ECO.01.0646,ECO.01.0646,"Reflexions curieuses d'un esprit des-interressé sur les matieres les plus importantes au salut, tant public que particulier",,A Cologne [i.e. Amsterdam],1678,1678,fre,yes
TO0E007702,ECO.01.0344,ECO.01.0344,"Gabrielis Naudaei ... Epistolae, nunc primum in lucem prodeunt",,Geneuae,1667,1667,lat,yes
MILE062610,ECO.01.0562/1,ECO.01.0562/1,"1.1: Plan général et raisonné des divers objets et des découvertes qui composent l'ouvrage intitulé : Monde primitif, analysé et comparé avec le monde",,A Paris,1773,1773,fre,yes
MILE062616,ECO.01.0562/1,ECO.01.0562/1,"1.2.: Allégories Orientales ou la Fragment de Sanchoniaton, qui contient L'Histoire de Saturne suivi de celles de Mercure et d'Hercule et de ses Douze",,A Paris,1777,1777,fre,yes
MILE063140,ECO.01.0942/01,ECO.01.0942/01,"Henrici Cornelii Agrippæ ab Nettesheym armatæ militiæ equitis aurati, et juris utriusque ac medicinæ doctoris, Operum pars posterior. Quorum catalogum",,Lugduni,1600,1600,lat,yes
RMS2489076,ECO.04.0064,ECO.04.0064 ; ECO.04.0065 ; ECO.04.0066 ; ECO.04.0067 ; ECO.04.0068 ; ECO.04.0069 ; ECO.04.0070 ; ECO.04.0071 ; ECO.04.0072 ; ECO.04.0073 ; ECO.04.0074 ; ECO.04.0075 ; ECO.04.0076 ; ECO.04.0077 ; ECO.04.0078 ; ECO.04.0079,La grande storia,[a cura di Umberto Eco],Milano,,2011,ita,
VEAE004723,ECO.03.0075/1,ECO.03.0075/1,"Delle nauigationi et viaggi raccolte da m. Gio. Battista Ramusio, in tre volumi diuise: nelle quali con relatione fedelissima si descriuono tutti quei",,In Venetia,1613,1613,ita,yes
VEAE004830,ECO.03.0075/3,ECO.03.0075/3,"3: Volume terzo. Nel quale si contiene le nauigationi al mondo nuouo, à gli antichi incognito, fatte da don Christoforo Colombo Genouese, che fù il pr",,In Venetia,1606,1606,ita,yes
VEAE008540,ECO.01.0372,ECO.01.0372,"[1.3]: Apparatus in librum Sohar pars tertia & quarta, quorum prior est liber Sa'ar hasamaim seu Porta Coelorum, in quo dogmata cabbalistica ... expli",,Solisbaci,1678,1678,lat,yes
SBLE005483,ECO.01.0035,ECO.01.0035,"Speculum astronomicum, tripartitum, medicis necessarium, agriculturae & nauigationi valdè proficuum . Auctore Philippo Finella. ...",,Neapoli,1649,1649,lat,yes
TO00104406,ECO.01.0879/03,ECO.01.0879/03,Poussin,Paola Santucci,Salerno,c1985,1985,ita,yes
CFI0625631,ECO.01.0518,ECO.01.0518,2,by Ignatius Donnelly,London,1888,1888,eng,yes
CFI0627132,ECO.01.0524,ECO.01.0524,The Bacon-Shakspere question answered,by C. Stopes,London,1889,1889,eng,yes
LO1E040248,ECO.01.0949,ECO.01.0949,"Dictionnaire mytho-hermétique, dans lequel on trouve les allégories fabuleuses des poètes, les métaphores, les énigmes et les termes barbares des phil",,A Paris,1787,1787,fre,yes
TO00165647,ECO.02.0063,ECO.02.0063,La chiave della Divina Commedia,Luigi Valli,Bologna,stampa 1925,1925,ita,yes
CFI0625630,ECO.01.0518,ECO.01.0518,1,by ignatius Donnelly,London,1888,1888,eng,yes
RAV0070081,ECO.02.0168,ECO.02.0168,L'Esopo,,Milano,1979-2009,1979,ita,yes
UBOE035181,ECO.01.0053,ECO.01.0053,"Laurentij Pignorij Patauini Mensa Isiaca, qua sacrorum apud Aegyptios ratio & simulacra subjectis tabulis aeneis simul exhibentur & explicantur. Acces",,Amstelodami,1669,1669,lat,yes
UBOE036728,ECO.01.0265,ECO.01.0265,[2]: Volume de la jurisprudence et des sciences et arts,,A Paris,1764,1764,fre,yes
UBOE129901,ECO.01.0828,ECO.01.0828,"1: Tomus primus In Ezechielem Hieronymi Pradi Biacensis e Societate Iesu explanationes et commentarii in priora sex, et viginti capita",,Romae,1596,1596,lat,yes
NAPE023387,ECO.01.0926,ECO.01.0926,"Magica, seu mirabilium historiarum de Spectris et apparitionibus spiritum: item de magicis & diabolicis incantationibus: de miraculis, oraculis, vatic",,Islebiae,1597,1597,lat,yes
PUV0812351,ECO.01.0862,ECO.01.0862,De la Démonialité et des animaux incubes et succubes,par le R.P. Louis-Marie Sinistrari d'Ameno...,Paris,1876,1876,fre,yes
USME024256,ECO.01.0977,ECO.01.0977,"[39]: Epistola viri clarissimi Hecqueti, ad D.D.    . De Ruyschiano uteri musculo",,Amstelodami,1727,1727,lat,yes
SBL0553934,ECO.04.0023,ECO.04.0023,La definizione dell'arte,Umberto Eco,Milano,[1968],1968,ita,
VEAE143585,ECO.01.0111,ECO.01.0111,In laudem operis kalendarij. s. huius Johanne de monte regio editi germanorum decoris nostrae aetatis astronomorum principis editi Jacobi Sontini Rici,,Venetijs,1482. Idus. 5 August,1482,lat,yes
VEAE131887,ECO.03.0002,ECO.03.0002,Comento di Christophoro Landino fiorentino sopra la comedia di Danthe Alighieri poeta fiorentino,,,,1491,ita,yes
VEAE143595,ECO.03.0011,ECO.03.0011,Aurelii Augustini Hipponensis episcopi De ciuitate Dei primi libri incipiunt rubrice,,,,1470,ita,yes
MIL0459653,ECO.02.0079,ECO.02.0079,De' Gesuiti,dai professori Michelet e Quinet,Parigi,1844,1844,ita,yes
PUVE001448,ECO.01.0996,ECO.01.0996,"Consolatio navigantium: in quâ docetur & deducitur, quomodo per maria peregrinantes à fame ac siti immò etiam morbis, qui longinquo ab itinere ipsis c",,Amstelodami,1657,1657,lat,yes
PUVE008688,ECO.01.0928,ECO.01.0928,"De fascino libri tres, auctore Leonardo Vairo Beneuentano ordinis S. Bendicti ... in quibus omnes fascini species, & causae optima methodo describuntu",,Venetiis,1589,1589,ita,yes
PUVE000478,ECO.01.0496,ECO.01.0496,"Traitté de l'ame et de la connoissance des bêtes, ou aprés avoir, demontré  la spiritualité de l'ame de l'homme l'on explique par la seule machine, le",,Amsterdam,1691,1691,fre,
VEAE000473,ECO.01.0856,ECO.01.0856,"Compendium maleficarum, ex quo nefandissima in genus humanum opera venefica, ac ad illa vitanda remedia conspiciuntur. Per fratrem Franciscum Mariam G",,Mediolani,1626,1626,lat,yes
VEAE001531,ECO.01.1035,ECO.01.1035,"Oracolo manuale, e arte di prudenza cauata dagl'aforismi, che si discorrono nell'opre di Lorenzo Gratiano mandalo in luce d. Vicenzo Giouanni de Lasta",,In Venetia,1679,1679,ita,yes
PUVE004848,ECO.01.0426,ECO.01.0426,Athanasii Kircheri e Soc. Jesu. Phonurgia nova sive Conjugium mechanico-physicum artis & naturae paranympha phonosophia concinnatum; qua universa sono,,Campidonae,1673,1673,lat,yes
PUVE017246,ECO.01.0739,ECO.01.0739,"Noua inuentione et arte del ricordarsi, per luoghi, & imagini; & per segni, & figure poste nelle mani. Del R.P.F. Girolamo Marafioto da Polistene di C",,In Vinegia,1602,1602,ita,yes
VEAE008513,ECO.01.0417,ECO.01.0417,"Athanasii Kircheri e Soc. Jesu China monumentis, qua sacris qua profanis,nec non variis naturae & artis spectaculis, aliarumque rerum memorabilium arg",,Amstelodami,1667,1667,lat,yes
VEAE008536,ECO.01.0372,ECO.01.0372,[1.1],,Sulzbaci,1677,1677,lat,yes
VEAE008537,ECO.01.0372,ECO.01.0372,"[1.2]: Apparatus in librum Sohar pars secunda, cujus contenta exhibet versa pagina",,,[1677-1684],1677,lat,yes
VEAE008541,ECO.01.0372,ECO.01.0372,2: Kabbalae denudatae tomus secundus: id est liber Sohar restitutus; cujus contenta pagina versa monstrabit. ... cui adjecta Adumbratio Cabbalae Chris,,Francofurti,1684,1684,lat,yes
PUVE012904,ECO.01.0080,ECO.01.0080,"Ermou tou Trismegistou Poimandres. Asklepiou oroi pros Ammona Basilea. Mercurii Trismegisti Poemander, seu De potestate ac sapientia diuina. Aesculapi",,Parisiis,1554,1554,grc,yes
VEAE008502,ECO.01.0827,ECO.01.0827,"Romani Collegii Societatus [!] Jesu Musæum celeberrimum, cujus magnum antiquariæ rei, statuarum, imaginum, picturarumque partem ex legato Alphonsi Don",,Amstelodami,1678,1678,lat,yes
SBLE000409,ECO.01.0149,ECO.01.0149,"Il serraglio de gli stupori del mondo, di Tomaso Garzoni da Bagnacauallo. Diuiso in diece appartamenti, secondo gli vari, & ammirabili oggetti. Cioè d",,In Venetia,1613,1613,ita,yes
SBLE011660,ECO.01.0284,ECO.01.0284,"Athanasii Kircheri Diatribe. De prodigiosis crucibus quae tam supra vestes hominum, quam res alias, non pridem post vltimum incendium Vesuuij montis N",,Romae,1661,1661,lat,yes
RAV0032351,ECO.04.0024,ECO.04.0024,L'uomo e l'arte,[a cura di Umberto Eco e Eugenio Battisti],Milano,,1969,ita,
IEI0126727,ECO.02.0017,ECO.02.0017,Saggi sull'idealismo magico,J. Evola,Todi,1925,1925,ita,yes
MIL0346937,ECO.02.0116,ECO.02.0116,Milano in ombra,Lodovico Corio,Milano,[1885?],    ,ita,yes
VEAE001372,ECO.01.0280,ECO.01.0280,"Athanasij Kircheri e Societate Iesu Arithmologia siue De abditis numerorum mysterijs qua origo, antiquitas & fabrica numerorum exponitur; ...",,Romæ,1665,1665,lat,yes
VEAE001375,ECO.01.0423,ECO.01.0423,"Athanasii Kircheri e Soc. Iesu, Oedipus Aegyptiacus. Hoc est Vniuersalis Hieroglyphicae Veterum doctrinae temporum iniuria abolitae instauratio. Opus ",,Romae,1652-1654,1652,lat,
VEAE002561,ECO.01.0992,ECO.01.0992,"Arte del nauigare dell'eccel. dottor Pietro da Medina. Nella quale copiosamente si tratta tutto quello, che appartiene alla nauigatione, e sua cogniti",,In Venetia,1609,1609,ita,yes
VEAE004121,ECO.01.0014,ECO.01.0014,"Io. Baptistae Portae Lyncei Neapolitani De aeris transmutationibus libri 4. In quo opere diligenter pertractatur de ijs, quae, vel ex aere, vel in aer",,Romae,1614,1614,lat,yes
MILE031435,ECO.01.0955,ECO.01.0955,Theodori Kerckringii ... Commentarius in currum triumphalem Antimonii Basilii Valentini a se latinitate donatum,,Amstelaedami,1685,1685,lat,
MILE031917,ECO.01.0493,ECO.01.0493,Essai philosophique sur l'ame des betes où  l'on traite de son existence et de sa nature. Et où l'on mêle par occasion diverses réflexions sur la natu,,Amsterdam,1728,1728,lat,yes
RAV0202353,ECO.02.0003,ECO.02.0003,Tomo 2,per Vincenzo Gioberti,Losanna,1846,1846,ita,yes
MILE025816,ECO.01.0947,ECO.01.0947,5,,,,1660,lat,yes
RAV0202354,ECO.02.0003,ECO.02.0003,Tomo 3,per Vincenzo Gioberti,Losanna,1847,1847,ita,yes
RAV0202355,ECO.02.0003,ECO.02.0003,Tomo 4,per Vincenzo Gioberti,Losanna,1847,1847,ita,yes
RAV0202356,ECO.02.0003,ECO.02.0003,Tomo 5,per Vincenzo Gioberti,Losanna,1847,1847,ita,yes
MILE025819,ECO.01.0947,ECO.01.0947,"6: Theatri chemici volumen sextum, theologicis, medicis, et tam vulgaribus quam hermeticæ chemiae ... continens, ex Germanica & Gallica lingua in Lati",,Argentorati,1661,1661,lat,yes
TO00187506,ECO.01.1051,ECO.01.1051,Lacerba,,Firenze,[1913]-1915,1913,ita,yes
MILE055932,ECO.01.0625/5,ECO.01.0625/5,"3.3:  Parte terza divisa in tre volumi. Logica alla quale e premessoun opuscolo recentemente pubblicato dall'autore, e intitolato""Principi logici, o s",,Milano,1817,1817,ita,yes
RAV0202352,ECO.02.0003,ECO.02.0003,Tomo 1,per Vincenzo Gioberti,Losanna,1846,1846,ita,yes
MIL0560452,ECO.02.0128,ECO.02.0128,"Hypnerotomachie, ou Discours du songe de Poliphile, deduisant comme Amour le combat a l'occasion de Polia",traduit de language italien en français par Jean Martin et Jacques Gohorry,Paris,1926,1926,fre,yes
MILE008655,ECO.01.0760/1,ECO.01.0760/1,"Raymundi Lullii  ... Opera ea quae ad adinventam ab ipso artem universalem, scientiarum artiumque omnium brevi compendio, firmaque memoria apprehenden",,Argentorati,1651,1651,lat,
MILE010393,ECO.01.0202,ECO.01.0202,"2: Homo indivisus et integer figuratus & symbolicus, anatomicus, rationalis, moralis, mysticus, politicus, & legalis, collectus et explicatus cum figu",,Augustae Vindelicorum & Dilingae,1695,1695,lat,yes
MILE010392,ECO.01.0202,ECO.01.0202,1,,,,1695,lat,yes
MILE010912,ECO.01.0894,ECO.01.0894,"Giardino de gli epiteti, traslati, et aggiunti poetici italiani del P. maestro F. Gio. Battista Spada di Fiorenzuola piacentino dell'Ordine de' predic",,In Bologna,1648,1648,ita,yes
VIAE006831,ECO.01.0623,ECO.01.0623,Des signes et de l'art de penser consideres dans leurs rapports mutuels. Par Jh. M. DeGerando,,A Paris,an VIII [i.e. 1799-1,1799,fre,
VIAE043046,ECO.01.0116,ECO.01.0116,Caii Plinii Secundi Naturalis historiae liber primus,,,,1487,lat,yes
VIAE036800,ECO.01.0119,ECO.01.0119,Incipit liber genesis qui dicitur hebraice bresith ...,,,,1476,lat,yes
RAV0118310,ECO.02.0081,ECO.02.0081,"Betes, hommes et dieux",Ferdinand Ossendowski,Paris,c1924,1924,fre,yes
LIA0002317,ECO.02.0033,ECO.02.0033,Minerva oscura,Giovanni Pascoli,Livorno,1898,1898,ita,yes
MIL0631965,ECO.01.0706,ECO.01.0706,Dell'arte della memoria,opera del prof. Tito Aurelj,Roma,1887,1887,ita,yes
CFIE026432,ECO.01.0352,ECO.01.0352,[1],,"[10], 30 p., [4] c. di tav.",,1664,lat,yes
CFIE026433,ECO.01.0352,ECO.01.0352,"2: Architecturae curiosae novae, pars secunda. Quæ lectoris obtutui sistit varia epistomiorum ac fistularum genera, salientuium fontium orificiis appl",,Norimbergæ,,    ,lat,yes
CFIE026434,ECO.01.0352,ECO.01.0352,"3: Architecturae curiosae novae pars tertia. Quæ præter noviter inventorum picturas, veras quoque sistit effigies varii generis fontium. Per Italiam, ",,Norimbergæ,,1664,lat,yes
MILE041327,ECO.01.0580/02,ECO.01.0580/02,"Quaedam praemeditatae & consideratae Cogitationes super quatuor priora capita libri primi Moysis, Genesis nominati. Prolatae a Francisco Mercurio ab H",,Amstelodami,1697,1697,lat,yes
MILE045413,ECO.01.0603,ECO.01.0603,"J.A. Comenii Janua linguarum reserata, cum Græca versione Theodori Simonii Holsati, innumeris in locis emendata à Stephano Curcellæo: qui etiam Gallic",,Amstelodami,1665,1665,lat,yes
MIL0629612,ECO.02.0164,ECO.02.0164,1,par une Societé de professeurs de philosophie,Paris,1844,1844,fre,yes
MIL0647786,ECO.01.0141,ECO.01.0141,2,volgarizzato da Bono Giamboni,Venezia,1839,1839,ita,yes
MIL0629618,ECO.02.0164,ECO.02.0164,6,par une Société de professeurs et de savants,Paris,1852,1852,fre,yes
MIL0647785,ECO.01.0141,ECO.01.0141,1,volgarizzato da Bono Giamboni,Venezia,1839,1839,ita,yes
MILE036269,ECO.01.0432,ECO.01.0432,Athanasii Kircheri Fuldensis Buchonii e Soc. Iesu presbyteri ... Ars magna lucis et vmbræ in decem libros digesta. Quibus admirandæ lucis et vmbræ in ,,Romæ,1646,1646,ita,yes
MILE055931,ECO.01.0625/4,ECO.01.0625/4,"3.2:  Parte terza divisa in tre volumi. Logica alla quale e premessoun opuscolo recentemente pubblicato dall'autore, e intitolato""Principi logici, o s",,Milano,1817,1817,ita,yes
CFIE000673,ECO.01.0977/03,ECO.01.0977/03,[23]: Frederici Ruyschii ... Thesaurus anatomicus primus [-decimus]. Cum figuris æneis,,Amstelodami,1721-1729,1721,lat,
TO01021404,ECO.02.0163,ECO.02.0163,Il brigante di Marengo o sia Mayno Della Spinetta,leggenda popolare pubblicata da Francesco Viganò,Milano,1845,1845,ita,
TO01021411,ECO.02.0163,ECO.02.0163,1,Francesco Vigano,Milano,1845,1845,ita,yes
